kind,method,direction,cadence,mean_error,series
amount,historical_median,credit,monthly_candidate,0.0405893436850141,204
amount,historical_median,credit,other,0.2027878998292695,24
amount,historical_median,debit,monthly_candidate,0.04733669851080501,1751
amount,historical_median,debit,other,0.16843221552858237,1001
amount,historical_median,debit,weekly_candidate,0.15599327821597342,42
amount,last_amount,credit,monthly_candidate,0.037239730135882776,204
amount,last_amount,credit,other,0.23535694717545264,24
amount,last_amount,debit,monthly_candidate,0.05204062006341529,1751
amount,last_amount,debit,other,0.19090334300571893,1001
amount,last_amount,debit,weekly_candidate,0.19162415222215215,42
amount,trailing_3_median,credit,monthly_candidate,0.04056055801999245,204
amount,trailing_3_median,credit,other,0.2050786053697561,24
amount,trailing_3_median,debit,monthly_candidate,0.048759998146142056,1751
amount,trailing_3_median,debit,other,0.17127437168446874,1001
amount,trailing_3_median,debit,weekly_candidate,0.16129433307043722,42
date,calendar_month,credit,monthly_candidate,1.3267973856209152,204
date,calendar_month,credit,other,13.937003968253968,24
date,calendar_month,debit,monthly_candidate,2.6764610698648394,1751
date,calendar_month,debit,other,20.75946117374689,1001
date,calendar_month,debit,weekly_candidate,22.270634920634922,42
date,fixed_30,credit,monthly_candidate,1.8300653594771241,204
date,fixed_30,credit,other,14.790079365079364,24
date,fixed_30,debit,monthly_candidate,2.8805730059013896,1751
date,fixed_30,debit,other,19.4661457590029,1001
date,fixed_30,debit,weekly_candidate,25.347902494331066,42
date,last_interval,credit,monthly_candidate,2.505718954248366,204
date,last_interval,credit,other,20.776587301587302,24
date,last_interval,debit,monthly_candidate,5.408804492670855,1751
date,last_interval,debit,other,28.428068756640187,1001
date,last_interval,debit,weekly_candidate,32.928174603174604,42
date,median_interval,credit,monthly_candidate,2.065767973856209,204
date,median_interval,credit,other,16.924801587301587,24
date,median_interval,debit,monthly_candidate,4.492989720159909,1751
date,median_interval,debit,other,24.575141525141525,1001
date,median_interval,debit,weekly_candidate,28.606448412698413,42
