series_id,user_id,description,category,direction,currency,n_dates,median_gap,interval_iqr,amount_cv,cadence
0,user_100,apartment rent transfer,rent,debit,ZAR,6,31.0,1.0,0.0,monthly_candidate
1,user_100,bulk pantry shop,groceries,debit,ZAR,4,28.0,7.0,0.19730293445839409,monthly_candidate
5,user_100,fresh food shop,groceries,debit,ZAR,7,14.0,24.5,0.16799379189458127,other
9,user_100,household shopping,shopping,debit,ZAR,5,30.5,1.25,0.030336522915037904,monthly_candidate
13,user_100,metro and bus fares,transport,debit,ZAR,6,14.0,21.0,0.12466081876710985,other
14,user_100,municipal utilities,utilities,debit,ZAR,6,31.0,1.0,0.08477745160978976,monthly_candidate
15,user_100,neighbourhood grocer,groceries,debit,ZAR,4,14.0,35.0,0.20605826947437292,other
18,user_100,payroll credit,salary,credit,ZAR,5,30.5,1.25,0.0,monthly_candidate
19,user_100,personal loan payment,debt_repayment,debit,ZAR,5,30.5,1.25,0.0,monthly_candidate
21,user_100,rail pass,transport,debit,ZAR,5,10.5,19.25,0.14014405356461218,other
23,user_100,shared storage plan,cloud_storage,debit,ZAR,5,30.5,1.25,0.0,monthly_candidate
24,user_100,streaming subscription,streaming,debit,ZAR,5,30.5,1.25,0.0,monthly_candidate
29,user_100,weekly produce market,groceries,debit,ZAR,4,35.0,21.0,0.13799938173855436,other
31,user_101,bulk pantry shop,groceries,debit,INR,4,20.0,65.0,0.13919790732416518,other
32,user_101,child education fee,education,debit,INR,5,30.5,1.0,0.0,monthly_candidate
33,user_101,diagnostic test,healthcare,debit,INR,5,30.5,1.0,0.05231224354060356,monthly_candidate
37,user_101,health insurance premium,insurance,debit,INR,5,30.5,1.0,0.0,monthly_candidate
39,user_101,household utility payment,utilities,debit,INR,5,30.5,1.0,0.060534626412049715,monthly_candidate
43,user_101,monthly entertainment spend,entertainment,debit,INR,5,30.5,1.0,0.0722116195433385,monthly_candidate
46,user_101,online backup subscription,cloud_storage,debit,INR,5,30.5,1.0,0.0,monthly_candidate
48,user_101,payroll credit,salary,credit,INR,5,30.5,1.0,0.0,monthly_candidate
51,user_101,property maintenance contribution,housing,debit,INR,5,30.5,1.0,0.0,monthly_candidate
58,user_101,weekly produce market,groceries,debit,INR,4,10.0,30.0,0.06885524063767552,other
64,user_102,energy provider bill,utilities,debit,EUR,5,30.5,1.5,0.0839875855024331,monthly_candidate
65,user_102,family streaming plan,streaming,debit,EUR,5,30.5,1.5,0.0,monthly_candidate
70,user_102,household groceries,groceries,debit,EUR,5,25.0,30.0,0.18454185638259332,other
71,user_102,household shopping,shopping,debit,EUR,5,30.5,1.5,0.05299539524980085,monthly_candidate
78,user_102,online backup subscription,cloud_storage,debit,EUR,5,30.5,1.5,0.0,monthly_candidate
80,user_102,shared housing rent,rent,debit,EUR,6,31.0,1.0,1.645727239745455e-16,monthly_candidate
86,user_103,bulk pantry shop,groceries,debit,INR,4,14.0,56.0,0.11525132560467383,other
88,user_103,community fitness plan,gym,debit,INR,5,30.5,1.0,0.0,monthly_candidate
89,user_103,commuter pass,transport,debit,INR,5,17.5,12.25,0.030940962635352114,other
93,user_103,games and recreation,entertainment,debit,INR,5,30.5,1.0,0.03601720132476328,monthly_candidate
94,user_103,grocery delivery,groceries,debit,INR,4,28.0,21.0,0.09943038913812385,monthly_candidate
95,user_103,grocery delivery membership,delivery_membership,debit,INR,5,30.5,1.0,0.0,monthly_candidate
96,user_103,household groceries,groceries,debit,INR,4,21.0,10.5,0.1883748584682871,other
97,user_103,household utility payment,utilities,debit,INR,5,30.5,1.0,0.0645801615034183,monthly_candidate
98,user_103,local market purchase,groceries,debit,INR,6,14.0,14.0,0.17134270230285814,other
102,user_103,monthly rent,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
103,user_103,music subscription,music_subscription,debit,INR,5,30.5,1.0,0.0,monthly_candidate
106,user_103,parking and tolls,transport,debit,INR,4,14.0,24.5,0.10436816709046932,other
107,user_103,payroll credit,salary,credit,INR,5,30.5,1.0,0.1544723261214617,monthly_candidate
109,user_103,rail pass,transport,debit,INR,5,14.0,15.75,0.1424954367719784,other
117,user_104,apartment rent transfer,rent,debit,ZAR,6,31.0,1.0,0.0,monthly_candidate
118,user_104,base salary,salary,credit,ZAR,5,30.5,1.0,0.0,monthly_candidate
121,user_104,energy provider bill,utilities,debit,ZAR,5,30.5,1.0,0.047939521149246864,monthly_candidate
122,user_104,family support payment,family_support,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
123,user_104,fresh food shop,groceries,debit,ZAR,7,17.5,7.0,0.16402313410044286,other
127,user_104,local market purchase,groceries,debit,ZAR,5,35.0,12.25,0.053022415142434,other
132,user_104,online backup subscription,cloud_storage,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
134,user_104,personal shopping,shopping,debit,ZAR,5,30.5,1.0,0.04868442320810303,monthly_candidate
136,user_104,regular medicine purchase,healthcare,debit,ZAR,5,30.5,1.0,0.06474936346023162,monthly_candidate
138,user_104,supermarket basket,groceries,debit,ZAR,5,17.5,10.5,0.1361830117800857,other
140,user_104,vehicle loan payment,debt_repayment,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
143,user_105,apartment rent transfer,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
144,user_105,bakery and snacks,dining,debit,INR,6,21.0,14.0,0.23467590075944866,other
148,user_105,family dinner,dining,debit,INR,4,28.0,49.0,0.06804737125498725,monthly_candidate
150,user_105,fuel refill,transport,debit,INR,5,40.0,38.75,0.06310842559210465,other
153,user_105,household insurance,insurance,debit,INR,6,31.0,1.0,0.0,monthly_candidate
154,user_105,household shopping,shopping,debit,INR,5,30.5,1.5,0.07482783806030882,monthly_candidate
157,user_105,local taxi,transport,debit,INR,8,15.0,5.0,0.17152420219979678,other
159,user_105,metro and bus fares,transport,debit,INR,7,12.5,20.0,0.15706731075042624,other
160,user_105,monthly entertainment spend,entertainment,debit,INR,5,30.5,1.5,0.08412952591312857,monthly_candidate
162,user_105,neighbourhood restaurant,dining,debit,INR,5,35.0,33.25,0.18533530109050017,other
163,user_105,online backup subscription,cloud_storage,debit,INR,5,30.5,1.5,0.0,monthly_candidate
164,user_105,parking and tolls,transport,debit,INR,4,70.0,37.5,0.14395361627423459,other
165,user_105,payroll credit,salary,credit,INR,5,30.5,1.5,0.0,monthly_candidate
167,user_105,rail pass,transport,debit,INR,4,10.0,52.5,0.17952199583274675,other
169,user_105,streaming subscription,streaming,debit,INR,5,30.5,1.5,0.0,monthly_candidate
170,user_105,supermarket basket,groceries,debit,INR,4,50.0,15.0,0.1282143683985075,other
172,user_105,vehicle charging,transport,debit,INR,4,55.0,22.5,0.23314793672057849,other
173,user_105,water and power payment,utilities,debit,INR,6,31.0,1.0,0.07068989424909071,monthly_candidate
175,user_106,audio streaming plan,music_subscription,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
178,user_106,commuter pass,transport,debit,EUR,4,42.0,0.0,0.18542597635700117,other
179,user_106,credit card repayment,debt_repayment,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
183,user_106,household utility payment,utilities,debit,EUR,5,31.0,0.25,0.06675016795836686,monthly_candidate
184,user_106,landlord standing order,rent,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
191,user_106,previous employer payroll,salary,credit,EUR,4,31.0,0.5,0.0,monthly_candidate
199,user_107,audio streaming plan,music_subscription,debit,EUR,5,31.0,0.75,0.0,monthly_candidate
203,user_107,commuter pass,transport,debit,EUR,7,24.5,22.75,0.11001067373560118,other
204,user_107,energy provider bill,utilities,debit,EUR,5,31.0,0.75,0.04635238388222094,monthly_candidate
206,user_107,food delivery membership,delivery_membership,debit,EUR,5,31.0,0.75,0.0,monthly_candidate
209,user_107,grocery delivery,groceries,debit,EUR,4,28.0,14.0,0.2134712871602673,monthly_candidate
211,user_107,landlord standing order,rent,debit,EUR,6,31.0,1.0,0.0,monthly_candidate
215,user_107,metro and bus fares,transport,debit,EUR,4,7.0,59.5,0.0839990442029088,weekly_candidate
222,user_107,school fee payment,education,debit,EUR,5,31.0,0.75,0.0,monthly_candidate
226,user_107,vehicle loan payment,debt_repayment,debit,EUR,5,31.0,0.75,0.0,monthly_candidate
228,user_107,weekly produce market,groceries,debit,EUR,4,28.0,56.0,0.059334492887403896,monthly_candidate
231,user_108,base salary,salary,credit,ZAR,5,30.5,1.5,0.0,monthly_candidate
232,user_108,building maintenance payment,housing,debit,ZAR,6,30.0,1.0,0.0,monthly_candidate
235,user_108,electricity bill,utilities,debit,ZAR,6,30.0,1.0,0.07546566952393438,monthly_candidate
240,user_108,health insurance premium,insurance,debit,ZAR,6,30.0,1.0,0.0,monthly_candidate
246,user_108,neighbourhood grocer,groceries,debit,ZAR,4,50.0,5.0,0.18496979881083636,other
248,user_108,performance commission,salary,credit,ZAR,4,31.0,16.5,0.34103618214634523,monthly_candidate
253,user_108,streaming subscription,streaming,debit,ZAR,5,30.5,1.5,0.0,monthly_candidate
256,user_108,therapy appointment,healthcare,debit,ZAR,5,30.5,1.5,0.04087159135762595,monthly_candidate
260,user_109,apartment rent transfer,rent,debit,EUR,6,31.0,1.0,1.5827208369986917e-16,monthly_candidate
263,user_109,cinema and events,entertainment,debit,EUR,5,31.0,0.25,0.05457915965552264,monthly_candidate
265,user_109,commuter pass,transport,debit,EUR,5,22.5,21.25,0.09808894643530504,other
266,user_109,electricity bill,utilities,debit,EUR,5,31.0,0.25,0.07210334153829694,monthly_candidate
267,user_109,family dinner,dining,debit,EUR,6,21.0,21.0,0.165661201916558,other
268,user_109,fresh food shop,groceries,debit,EUR,4,20.0,45.0,0.11215173230317788,other
269,user_109,fuel refill,transport,debit,EUR,4,55.0,25.0,0.05672606532203214,other
272,user_109,household insurance,insurance,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
274,user_109,local taxi,transport,debit,EUR,8,20.0,7.5,0.09799299270648511,other
275,user_109,lunch with colleagues,dining,debit,EUR,4,35.0,14.0,0.1716297148247114,other
276,user_109,metro and bus fares,transport,debit,EUR,4,10.0,25.0,0.20735895484320319,other
279,user_109,online retail purchases,shopping,debit,EUR,5,31.0,0.25,0.0556430682508411,monthly_candidate
280,user_109,parking and tolls,transport,debit,EUR,6,15.0,5.0,0.18457664603965923,other
281,user_109,payroll credit,salary,credit,USD,5,31.0,0.25,0.0,monthly_candidate
285,user_109,shared storage plan,cloud_storage,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
288,user_109,vehicle charging,transport,debit,EUR,4,35.0,37.5,0.11640865828518927,other
289,user_109,video streaming plan,streaming,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
290,user_109,weekend food delivery,dining,debit,EUR,4,21.0,35.0,0.15448800143203345,other
301,user_110,grocery delivery,groceries,debit,ZAR,4,50.0,30.0,0.16676892460826226,other
308,user_110,monthly rent,rent,debit,ZAR,6,31.0,1.0,0.0,monthly_candidate
309,user_110,monthly shopping spend,shopping,debit,ZAR,5,30.5,1.0,0.06394230106313091,monthly_candidate
312,user_110,online backup subscription,cloud_storage,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
314,user_110,streaming subscription,streaming,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
317,user_110,water and power payment,utilities,debit,ZAR,5,30.5,1.0,0.04671503990819436,monthly_candidate
324,user_111,electricity bill,utilities,debit,IDR,5,30.5,1.5,0.052878491046922854,monthly_candidate
327,user_111,fresh food shop,groceries,debit,IDR,4,40.0,10.0,0.07125660367184092,other
335,user_111,monthly rent,rent,debit,IDR,5,30.5,1.5,0.0,monthly_candidate
338,user_111,online backup subscription,cloud_storage,debit,IDR,5,30.5,1.5,0.0,monthly_candidate
340,user_111,payroll credit,salary,credit,IDR,4,31.0,0.5,0.0,monthly_candidate
341,user_111,personal shopping,shopping,debit,IDR,5,30.5,1.5,0.057761737637347314,monthly_candidate
345,user_111,video streaming plan,streaming,debit,IDR,5,30.5,1.5,0.0,monthly_candidate
347,user_111,weekly produce market,groceries,debit,IDR,4,40.0,15.0,0.15637679993892398,other
349,user_112,bulk pantry shop,groceries,debit,EUR,5,31.5,15.75,0.09732844472145984,monthly_candidate
350,user_112,child education fee,education,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
352,user_112,commuter pass,transport,debit,EUR,6,28.0,21.0,0.04972798399912115,monthly_candidate
353,user_112,delivery service plan,delivery_membership,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
354,user_112,education loan instalment,debt_repayment,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
