user_id,messages,images_or_missing,lifecycle,foreign_currency,pending_debit,restricted_methods,irregular_recurrence,score,tier,request_id,event_count
user_26,1,0,1,0,0,1,1,4,evidence-heavy,request_26,76
user_27,1,0,0,0,0,1,1,3,evidence-heavy,request_27,114
user_28,1,0,0,0,0,1,1,3,evidence-heavy,request_28,103
user_29,1,0,0,0,0,0,0,1,evidence-heavy,request_29,79
user_30,0,0,0,0,0,1,1,2,structured-complex,request_30,72
user_31,0,0,0,0,0,1,1,2,structured-complex,request_31,99
user_32,1,0,0,0,0,1,1,3,evidence-heavy,request_32,98
user_33,1,1,0,0,0,1,1,4,evidence-heavy,request_33,122
user_34,1,0,0,0,0,1,1,3,evidence-heavy,request_34,72
user_35,1,1,1,0,0,1,1,5,evidence-heavy,request_35,108
user_36,1,0,0,0,0,1,1,3,evidence-heavy,request_36,75
user_37,1,0,0,0,0,1,1,3,evidence-heavy,request_37,102
user_38,1,0,0,0,0,1,1,3,evidence-heavy,request_38,83
user_39,0,0,0,1,0,1,1,3,structured-complex,request_39,120
user_40,1,0,0,0,1,1,1,4,evidence-heavy,request_40,100
user_41,0,0,0,1,1,1,1,4,structured-complex,request_41,122
user_42,1,0,0,0,1,1,1,4,evidence-heavy,request_42,124
user_43,1,0,0,0,1,1,0,3,evidence-heavy,request_43,58
user_44,1,0,0,0,0,1,1,3,evidence-heavy,request_44,99
user_45,1,0,0,0,0,0,1,2,evidence-heavy,request_45,76
user_46,0,0,0,0,0,1,1,2,structured-complex,request_46,102
user_47,1,0,0,0,0,1,1,3,evidence-heavy,request_47,114
user_48,1,1,0,1,0,1,1,5,evidence-heavy,request_48,129
user_49,1,0,0,0,0,1,1,3,evidence-heavy,request_49,101
user_50,1,0,0,0,0,1,1,3,evidence-heavy,request_50,84
user_51,0,0,0,0,0,0,1,1,simple,request_51,113
user_52,1,0,0,0,0,1,1,3,evidence-heavy,request_52,57
user_53,1,0,1,0,0,1,1,4,evidence-heavy,request_53,104
user_54,1,0,0,0,0,1,1,3,evidence-heavy,request_54,74
user_55,0,1,1,0,0,1,1,4,evidence-heavy,request_55,102
user_56,0,0,0,0,0,1,1,2,structured-complex,request_56,83
user_57,1,0,0,0,0,1,1,3,evidence-heavy,request_57,67
user_58,1,0,0,0,0,1,1,3,evidence-heavy,request_58,104
user_59,1,0,0,0,0,1,1,3,evidence-heavy,request_59,113
user_60,1,0,0,0,1,1,1,4,evidence-heavy,request_60,123
user_61,1,0,0,0,1,1,1,4,evidence-heavy,request_61,56
user_62,1,0,0,0,1,1,1,4,evidence-heavy,request_62,73
user_63,0,0,0,1,1,1,1,4,structured-complex,request_63,122
user_64,1,1,0,1,1,1,1,6,evidence-heavy,request_64,123
user_65,1,0,0,0,0,1,1,3,evidence-heavy,request_65,83
user_66,1,0,0,0,0,1,1,3,evidence-heavy,request_66,72
user_67,0,0,1,0,0,1,1,3,evidence-heavy,request_67,102
user_68,1,0,0,0,0,1,1,3,evidence-heavy,request_68,81
user_69,1,0,0,0,0,0,1,2,evidence-heavy,request_69,101
user_70,1,0,1,0,0,1,0,3,evidence-heavy,request_70,59
user_71,1,0,0,1,0,1,1,4,evidence-heavy,request_71,119
user_72,1,0,0,0,0,1,1,3,evidence-heavy,request_72,98
user_73,1,1,1,0,0,1,1,5,evidence-heavy,request_73,110
user_74,1,0,0,0,0,1,1,3,evidence-heavy,request_74,72
user_75,1,0,0,0,0,1,1,3,evidence-heavy,request_75,67
user_76,1,0,0,0,0,1,1,3,evidence-heavy,request_76,106
user_77,1,0,1,0,0,1,1,4,evidence-heavy,request_77,82
user_78,0,1,1,1,0,1,1,5,evidence-heavy,request_78,121
user_79,0,0,0,1,0,1,1,3,structured-complex,request_79,120
user_80,1,0,0,0,1,1,1,4,evidence-heavy,request_80,108
user_81,1,0,0,0,1,1,1,4,evidence-heavy,request_81,102
user_82,1,0,0,0,1,1,1,4,evidence-heavy,request_82,102
user_83,1,0,0,0,1,1,1,4,evidence-heavy,request_83,80
user_84,1,1,0,1,0,1,1,5,evidence-heavy,request_84,123
user_85,1,0,0,0,0,1,1,3,evidence-heavy,request_85,102
user_86,0,0,0,0,0,0,1,1,simple,request_86,81
user_87,1,0,0,0,0,1,1,3,evidence-heavy,request_87,118
user_88,1,0,0,0,0,1,0,2,evidence-heavy,request_88,59
user_89,0,0,0,0,0,1,1,2,structured-complex,request_89,102
user_90,1,0,0,0,0,1,1,3,evidence-heavy,request_90,72
user_91,1,0,1,0,0,1,1,4,evidence-heavy,request_91,100
user_92,1,0,0,0,0,1,1,3,evidence-heavy,request_92,86
user_93,1,0,0,0,0,1,1,3,evidence-heavy,request_93,69
user_94,1,0,0,0,0,1,1,3,evidence-heavy,request_94,72
